1 Time;2 Number;5 Layers;10 Neurons;15 Epochs;20 Train-Acc;21 Val-Acc;22 Train-F1;27 Val-F1;29 Chunksize;30 Comment;Batch-Size;Clipping;Cutoff;Dataset;Future;Link;NLabels;Report;Runtime;Selection;Shape;Train-Confusion;Train-Loss;Val-Confusion;Val-Loss;Weightdecay
Mon Feb 13 14:48:03 2017;12;3;10;150;0.672;0.64;0.371;0.327;3000;LSTM-testing-norm-3ch;32;300;;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.00      0.00      0.00         0
        1.0       0.00      0.00      0.00         0
        2.0       0.84      0.68      0.75      5875
        3.0       0.32      0.44      0.37       856
        4.0       0.33      0.80      0.47       277
        5.0       0.78      0.60      0.68      2739
        6.0       0.01      0.02      0.02        45

avg / total       0.76      0.64      0.69      9792
";11.99;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20375, 21);"[[  8.32e-04   0.00e+00   8.54e-01   2.00e-02   0.00e+00   1.04e-01
    2.08e-02]
 [  0.00e+00   0.00e+00   6.96e-01   1.16e-02   0.00e+00   2.92e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   8.85e-01   3.92e-02   3.41e-03   7.29e-02
    0.00e+00]
 [  0.00e+00   0.00e+00   4.05e-01   4.42e-01   1.51e-01   2.50e-03
    0.00e+00]
 [  0.00e+00   0.00e+00   3.57e-02   4.08e-01   5.56e-01   0.00e+00
    0.00e+00]
 [  0.00e+00   0.00e+00   2.48e-01   2.19e-03   8.78e-04   7.49e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   7.05e-01   8.57e-02   9.52e-03   2.00e-01
    0.00e+00]]";1.02979;"[[  0.00e+00   0.00e+00   6.03e-01   1.89e-02   1.72e-03   3.01e-01
    7.56e-02]
 [  0.00e+00   0.00e+00   4.89e-01   1.38e-02   0.00e+00   4.97e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   8.42e-01   1.59e-02   6.29e-04   1.42e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   6.05e-01   3.15e-01   4.15e-02   3.82e-02
    0.00e+00]
 [  0.00e+00   0.00e+00   1.00e-01   5.68e-01   3.32e-01   0.00e+00
    0.00e+00]
 [  0.00e+00   0.00e+00   2.22e-01   0.00e+00   0.00e+00   7.78e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   7.50e-01   4.55e-02   1.14e-02   1.82e-01
    1.14e-02]]";1.07976;0.00000001
Mon Feb 13 15:12:27 2017;13;3;10;150;0.651;0.635;0.303;0.265;3000;LSTM-testing-norm-3ch;32;300;;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.26      0.61      0.37       249
        1.0       0.00      0.00      0.00         2
        2.0       0.89      0.62      0.73      6851
        3.0       0.00      0.15      0.00        20
        4.0       0.00      0.00      0.00         0
        5.0       0.85      0.67      0.75      2663
        6.0       0.00      0.00      0.00         7

avg / total       0.86      0.64      0.73      9792
";9.8;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20375, 21);"[[  4.65e-01   1.75e-02   3.30e-01   1.91e-02   0.00e+00   1.65e-01
    3.33e-03]
 [  1.37e-01   1.05e-03   4.95e-01   3.15e-03   0.00e+00   3.64e-01
    0.00e+00]
 [  2.99e-03   0.00e+00   9.33e-01   0.00e+00   0.00e+00   6.42e-02
    0.00e+00]
 [  0.00e+00   0.00e+00   9.99e-01   4.16e-04   0.00e+00   4.16e-04
    0.00e+00]
 [  0.00e+00   0.00e+00   1.00e+00   0.00e+00   0.00e+00   0.00e+00
    0.00e+00]
 [  6.58e-03   0.00e+00   1.29e-01   0.00e+00   0.00e+00   8.64e-01
    0.00e+00]
 [  2.38e-02   0.00e+00   7.33e-01   0.00e+00   0.00e+00   2.43e-01
    0.00e+00]]";1.03019;"[[  2.61e-01   3.44e-03   3.64e-01   2.75e-02   0.00e+00   3.32e-01
    1.20e-02]
 [  1.02e-01   0.00e+00   3.23e-01   0.00e+00   0.00e+00   5.75e-01
    0.00e+00]
 [  1.05e-02   0.00e+00   8.95e-01   2.10e-04   0.00e+00   9.43e-02
    0.00e+00]
 [  4.98e-03   0.00e+00   9.93e-01   2.49e-03   0.00e+00   0.00e+00
    0.00e+00]
 [  0.00e+00   0.00e+00   1.00e+00   0.00e+00   0.00e+00   0.00e+00
    0.00e+00]
 [  0.00e+00   0.00e+00   1.52e-01   0.00e+00   0.00e+00   8.48e-01
    0.00e+00]
 [  4.55e-02   0.00e+00   7.61e-01   0.00e+00   0.00e+00   1.93e-01
    0.00e+00]]";1.05624;0.00000001
Mon Feb 13 15:45:28 2017;14;3;10;250;0.802;0.727;0.55;0.495;3000;LSTM-testing-norm-3ch;32;300;;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.65      0.72      0.68       600
        1.0       0.00      0.00      0.00         1
        2.0       0.89      0.73      0.81      5468
        3.0       0.47      0.54      0.50      1112
        4.0       0.62      0.71      0.66       652
        5.0       0.79      0.82      0.81      1927
        6.0       0.00      0.00      0.00         0

avg / total       0.79      0.73      0.75      9760
";17.64;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20401, 21);"[[  7.33e-01   0.00e+00   2.12e-01   7.19e-03   2.70e-03   4.49e-02
    0.00e+00]
 [  2.63e-01   0.00e+00   4.47e-01   1.44e-02   1.32e-02   2.63e-01
    0.00e+00]
 [  8.82e-03   0.00e+00   9.13e-01   3.66e-02   2.49e-03   3.92e-02
    0.00e+00]
 [  4.28e-04   0.00e+00   3.00e-01   5.61e-01   1.36e-01   1.71e-03
    0.00e+00]
 [  0.00e+00   0.00e+00   9.54e-03   1.79e-01   8.11e-01   0.00e+00
    0.00e+00]
 [  3.19e-03   0.00e+00   1.12e-01   1.49e-03   0.00e+00   8.83e-01
    0.00e+00]
 [  8.81e-02   0.00e+00   5.85e-01   7.25e-02   6.22e-02   1.92e-01
    0.00e+00]]";0.6926;"[[  6.47e-01   0.00e+00   2.81e-01   1.04e-02   1.64e-02   4.46e-02
    0.00e+00]
 [  1.75e-01   0.00e+00   5.30e-01   1.04e-02   0.00e+00   2.85e-01
    0.00e+00]
 [  1.42e-02   2.22e-04   8.93e-01   4.87e-02   7.79e-03   3.56e-02
    0.00e+00]
 [  0.00e+00   0.00e+00   4.22e-01   4.71e-01   1.05e-01   2.36e-03
    0.00e+00]
 [  0.00e+00   0.00e+00   2.80e-02   3.52e-01   6.20e-01   0.00e+00
    0.00e+00]
 [  4.03e-03   0.00e+00   1.96e-01   5.54e-03   0.00e+00   7.94e-01
    0.00e+00]
 [  8.57e-02   0.00e+00   5.81e-01   6.67e-02   7.62e-02   1.90e-01
    0.00e+00]]";0.86835;0.00000001
Mon Feb 13 16:04:53 2017;15;3;10;250;0.756;0.695;0.428;0.363;3000;LSTM-testing-norm-3ch;32;300;;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.00      0.00      0.00         0
        1.0       0.00      0.00      0.00         0
        2.0       0.87      0.76      0.81      5295
        3.0       0.48      0.48      0.48      1067
        4.0       0.49      0.49      0.49       617
        5.0       0.84      0.70      0.76      2685
        6.0       0.00      0.00      0.00         0

avg / total       0.80      0.70      0.74      9664
";17.36;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20499, 21);"[[  0.00e+00   0.00e+00   5.44e-01   4.39e-03   4.39e-03   4.47e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   5.16e-01   2.16e-03   6.48e-03   4.75e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   9.23e-01   3.72e-02   7.05e-03   3.23e-02
    0.00e+00]
 [  0.00e+00   0.00e+00   3.23e-01   5.05e-01   1.71e-01   3.93e-04
    0.00e+00]
 [  0.00e+00   0.00e+00   1.12e-02   1.91e-01   7.97e-01   0.00e+00
    0.00e+00]
 [  0.00e+00   0.00e+00   8.85e-02   4.48e-04   1.12e-03   9.10e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   5.89e-01   3.05e-02   5.08e-02   3.30e-01
    0.00e+00]]";0.74928;"[[  0.00e+00   0.00e+00   5.32e-01   6.20e-03   1.55e-03   4.60e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   5.38e-01   7.83e-03   2.61e-03   4.52e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   8.72e-01   5.12e-02   7.12e-03   6.95e-02
    0.00e+00]
 [  0.00e+00   0.00e+00   2.76e-01   4.76e-01   2.49e-01   0.00e+00
    0.00e+00]
 [  0.00e+00   0.00e+00   1.77e-02   4.94e-01   4.89e-01   0.00e+00
    0.00e+00]
 [  0.00e+00   0.00e+00   1.55e-01   4.51e-04   1.81e-03   8.43e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   5.54e-01   8.91e-02   9.90e-02   2.57e-01
    0.00e+00]]";0.85548;0.00001
Mon Feb 13 16:07:23 2017;15;3;25;250;0.843;0.775;0.627;0.546;3000;LSTM-testing-norm-3ch;32;300;;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.76      0.66      0.71       666
        1.0       0.10      0.24      0.15       158
        2.0       0.89      0.82      0.85      5221
        3.0       0.58      0.58      0.58      1199
        4.0       0.62      0.82      0.70       503
        5.0       0.82      0.85      0.83      2045
        6.0       0.00      0.00      0.00         0

avg / total       0.80      0.77      0.79      9792
";17.09;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20375, 21);"[[  8.87e-01   3.16e-02   3.99e-02   1.66e-03   1.66e-03   3.83e-02
    0.00e+00]
 [  2.72e-01   1.57e-01   3.33e-01   1.05e-03   1.05e-03   2.36e-01
    0.00e+00]
 [  2.99e-03   4.91e-03   9.32e-01   3.85e-02   8.54e-04   2.08e-02
    0.00e+00]
 [  8.32e-04   4.16e-04   2.26e-01   6.45e-01   1.28e-01   0.00e+00
    0.00e+00]
 [  0.00e+00   0.00e+00   1.81e-03   1.45e-01   8.53e-01   0.00e+00
    0.00e+00]
 [  2.63e-03   4.17e-03   5.68e-02   2.85e-03   0.00e+00   9.34e-01
    0.00e+00]
 [  9.52e-02   5.71e-02   5.43e-01   4.76e-02   1.90e-02   2.38e-01
    0.00e+00]]";0.44643;"[[  7.58e-01   4.64e-02   1.41e-01   5.15e-03   5.15e-03   4.47e-02
    0.00e+00]
 [  3.26e-01   1.05e-01   2.32e-01   5.52e-03   2.76e-03   3.29e-01
    0.00e+00]
 [  9.22e-03   9.01e-03   8.93e-01   5.32e-02   2.10e-03   3.31e-02
    0.00e+00]
 [  1.66e-03   0.00e+00   3.57e-01   5.82e-01   5.98e-02   0.00e+00
    0.00e+00]
 [  0.00e+00   0.00e+00   3.44e-02   3.50e-01   6.16e-01   0.00e+00
    0.00e+00]
 [  1.84e-02   2.22e-02   1.40e-01   4.73e-04   0.00e+00   8.19e-01
    0.00e+00]
 [  2.50e-01   3.41e-02   5.00e-01   4.55e-02   5.68e-02   1.14e-01
    0.00e+00]]";0.63408;0.00001
Mon Feb 13 16:40:14 2017;16;3;10;500;0.857;0.811;0.5;0.538;500;LSTM-testing-norm-3ch longer;256;300;;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 5 6];"             precision    recall  f1-score   support

        0.0       0.83      0.57      0.68      5011
        1.0       0.03      0.23      0.06       306
        2.0       0.90      0.82      0.86     31391
        3.0       0.69      0.89      0.78      8762
        5.0       0.88      0.85      0.86     13154
        6.0       0.00      0.00      0.00         0

avg / total       0.85      0.81      0.83     58624
";26.7;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(122250, 21);"[[  8.88e-01   1.43e-02   4.55e-02   5.13e-03   0.00e+00   4.76e-02]
 [  4.19e-01   4.03e-02   3.06e-01   4.03e-03   0.00e+00   2.31e-01]
 [  6.76e-03   2.26e-03   9.33e-01   3.71e-02   0.00e+00   2.08e-02]
 [  2.87e-04   0.00e+00   1.64e-01   8.35e-01   0.00e+00   6.16e-04]
 [       nan        nan        nan        nan        nan        nan]
 [  4.42e-03   5.85e-04   7.02e-02   1.65e-03   0.00e+00   9.23e-01]]";0.44409;"[[  8.27e-01   1.12e-02   9.84e-02   1.30e-02   0.00e+00   5.04e-02]
 [  3.81e-01   3.27e-02   2.32e-01   3.27e-03   0.00e+00   3.51e-01]
 [  3.22e-02   4.45e-03   9.00e-01   3.01e-02   0.00e+00   3.37e-02]
 [  4.98e-03   1.78e-04   3.00e-01   6.92e-01   0.00e+00   2.76e-03]
 [       nan        nan        nan        nan        nan        nan]
 [  1.30e-02   3.54e-03   1.04e-01   1.89e-03   0.00e+00   8.78e-01]]";0.5736;0.00001
Mon Feb 13 17:48:06 2017;17;3;15;1000;0.894;0.785;0.714;0.586;500;LSTM-testing-norm-3ch more epochs;256;300;;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5];"             precision    recall  f1-score   support

        0.0       0.69      0.69      0.69      3476
        1.0       0.29      0.25      0.27      2436
        2.0       0.85      0.81      0.83     29846
        3.0       0.70      0.90      0.79      8661
        4.0       0.85      0.77      0.81     14074
        5.0       0.08      0.32      0.13       131

avg / total       0.79      0.78      0.79     58624
";54.9;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(122250, 21);"[[  8.81e-01   7.17e-02   2.04e-02   3.33e-03   1.82e-02   5.82e-03]
 [  1.94e-01   4.71e-01   1.68e-01   2.98e-03   1.57e-01   6.83e-03]
 [  8.36e-04   1.07e-02   9.35e-01   3.73e-02   1.49e-02   8.71e-04]
 [  3.29e-04   0.00e+00   1.18e-01   8.80e-01   5.34e-04   9.04e-04]
 [  1.21e-03   1.01e-02   3.60e-02   5.48e-04   9.52e-01   3.66e-05]
 [  1.27e-01   1.99e-01   3.08e-01   9.29e-02   1.85e-01   8.81e-02]]";0.30748;"[[  6.94e-01   1.63e-01   8.61e-02   1.27e-02   3.66e-02   7.77e-03]
 [  1.56e-01   2.88e-01   2.17e-01   3.73e-03   3.33e-01   2.33e-03]
 [  1.51e-02   2.63e-02   8.52e-01   2.55e-02   8.01e-02   1.30e-03]
 [  1.13e-02   3.74e-03   2.82e-01   6.95e-01   5.69e-03   1.51e-03]
 [  3.39e-03   2.78e-02   1.17e-01   6.30e-04   8.51e-01   2.36e-04]
 [  2.44e-01   2.03e-01   2.22e-01   1.00e-01   1.52e-01   7.95e-02]]";0.68133;0.00001
Mon Feb 13 17:50:19 2017;16;3;25;250;0.883;0.801;0.68;0.568;500;LSTM-testing-norm-3ch 500 segments, testing;32;300;;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 5 6];"             precision    recall  f1-score   support

        0.0       0.57      0.74      0.64      2696
        1.0       0.31      0.24      0.27      2802
        2.0       0.88      0.83      0.85     30356
        3.0       0.72      0.89      0.79      9028
        5.0       0.88      0.81      0.84     13870
        6.0       0.00      0.00      0.00         0

avg / total       0.81      0.80      0.80     58752
";99.15;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(122250, 21);"[[  8.45e-01   9.74e-02   2.86e-02   1.80e-03   0.00e+00   2.73e-02]
 [  1.30e-01   4.55e-01   2.18e-01   2.10e-03   0.00e+00   1.95e-01]
 [  5.69e-04   1.11e-02   9.33e-01   3.64e-02   0.00e+00   1.92e-02]
 [  0.00e+00   2.87e-04   1.36e-01   8.63e-01   0.00e+00   5.34e-04]
 [       nan        nan        nan        nan        nan        nan]
 [  2.51e-03   9.06e-03   4.73e-02   7.64e-04   0.00e+00   9.40e-01]]";0.35261;"[[ 0.57  0.29  0.07  0.01  0.    0.06]
 [ 0.12  0.31  0.23  0.    0.    0.33]
 [ 0.01  0.03  0.88  0.03  0.    0.06]
 [ 0.    0.    0.28  0.72  0.    0.  ]
 [  nan   nan   nan   nan   nan   nan]
 [ 0.01  0.01  0.09  0.    0.    0.88]]";0.56879;0.00001
Mon Feb 13 21:15:48 2017;17;3;25;1000;0.863;0.755;0.661;0.546;100;LSTM-testing-norm-3ch ;256;300;;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5];"             precision    recall  f1-score   support

        0.0       0.70      0.74      0.72     16573
        1.0       0.29      0.19      0.23     16641
        2.0       0.85      0.76      0.80    159526
        3.0       0.65      0.87      0.74     42185
        4.0       0.76      0.82      0.79     58707
        5.0       0.00      0.00      0.00         0

avg / total       0.76      0.76      0.75    293632
";252.94;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(611250, 21);"[[  8.80e-01   7.63e-02   1.64e-02   3.00e-03   2.43e-02   0.00e+00]
 [  1.25e-01   4.02e-01   3.09e-01   4.20e-03   1.60e-01   0.00e+00]
 [  1.50e-03   1.68e-02   9.13e-01   4.00e-02   2.88e-02   3.56e-06]
 [  7.56e-04   3.04e-04   1.50e-01   8.39e-01   9.58e-03   0.00e+00]
 [  5.09e-03   1.21e-02   6.78e-02   3.50e-03   9.12e-01   0.00e+00]
 [  2.19e-01   2.43e-01   3.01e-01   7.16e-02   1.65e-01   0.00e+00]]";0.41474;"[[ 0.7   0.2   0.05  0.02  0.02  0.  ]
 [ 0.15  0.29  0.4   0.01  0.16  0.  ]
 [ 0.01  0.05  0.85  0.03  0.06  0.  ]
 [ 0.    0.01  0.33  0.65  0.    0.  ]
 [ 0.01  0.02  0.2   0.    0.76  0.  ]
 [ 0.31  0.18  0.31  0.06  0.13  0.  ]]";0.70749;0.00001
Mon Feb 13 22:08:15 2017;17;3;25;250;0.77;0.698;0.536;0.468;100;LSTM-testing-norm-3ch future2;64;500;;/home/simon/sleep/;2;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5];"             precision    recall  f1-score   support

        0.0       0.65      0.62      0.63     18318
        1.0       0.02      0.19      0.04      1227
        2.0       0.73      0.77      0.75    135556
        3.0       0.66      0.79      0.72     47521
        4.0       0.82      0.57      0.67     91202
        5.0       0.00      0.00      0.00         0

avg / total       0.74      0.70      0.71    293824
";228.07;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(611250, 21);"[[  8.83e-01   8.65e-03   7.95e-02   3.91e-03   2.45e-02   4.44e-04]
 [  2.81e-01   2.75e-02   5.39e-01   8.79e-03   1.42e-01   1.89e-03]
 [  1.18e-02   1.92e-03   8.13e-01   5.42e-02   1.19e-01   0.00e+00]
 [  1.81e-03   1.15e-04   1.46e-01   8.39e-01   1.37e-02   0.00e+00]
 [  4.37e-03   3.28e-04   2.07e-01   7.66e-03   7.81e-01   0.00e+00]
 [  3.39e-01   2.17e-02   3.17e-01   8.79e-02   2.34e-01   0.00e+00]]";0.65075;"[[ 0.65  0.01  0.29  0.01  0.03  0.  ]
 [ 0.18  0.02  0.54  0.03  0.23  0.  ]
 [ 0.02  0.    0.73  0.04  0.21  0.  ]
 [ 0.02  0.    0.21  0.66  0.11  0.  ]
 [ 0.01  0.    0.12  0.06  0.82  0.  ]
 [ 0.34  0.01  0.33  0.11  0.2   0.  ]]";0.8284;0.00001
Tue Feb 14 08:52:08 2017;18;3;25;100;0.627;0.562;0.396;0.323;3000;LSTM-testing-norm-3ch ;2560;250;500;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5];"             precision    recall  f1-score   support

        0.0       0.25      0.30      0.27   1442051
        1.0       0.00      0.05      0.00      1193
        2.0       0.71      0.62      0.67  16402672
        3.0       0.51      0.57      0.54   5097601
        4.0       0.46      0.46      0.46   6442697
        5.0       0.00      0.42      0.00        26

avg / total       0.60      0.56      0.58  29386240
";387.71;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(61125000, 3);"[[  4.21e-01   9.24e-04   3.36e-01   1.70e-02   2.25e-01   6.93e-06]
 [  1.50e-01   1.11e-03   4.78e-01   3.18e-02   3.39e-01   3.85e-06]
 [  2.73e-02   8.18e-05   7.66e-01   7.66e-02   1.30e-01   2.13e-07]
 [  1.13e-02   3.12e-06   3.21e-01   6.43e-01   2.45e-02   0.00e+00]
 [  1.68e-02   2.40e-04   4.07e-01   3.35e-02   5.42e-01   1.27e-05]
 [  2.28e-01   4.81e-03   4.59e-01   1.13e-01   1.95e-01   7.94e-06]]";0.95763;"[[  2.49e-01   8.01e-06   3.73e-01   2.00e-02   3.58e-01   5.72e-07]
 [  9.33e-02   5.80e-05   4.64e-01   1.27e-01   3.16e-01   4.60e-06]
 [  3.85e-02   3.02e-05   7.14e-01   8.85e-02   1.59e-01   2.10e-07]
 [  2.21e-02   1.78e-07   4.24e-01   5.14e-01   3.91e-02   0.00e+00]
 [  1.99e-02   5.99e-05   3.98e-01   1.17e-01   4.65e-01   9.45e-07]
 [  3.94e-01   1.15e-03   3.98e-01   9.35e-02   1.13e-01   4.17e-05]]";1.09599;0.00001
Tue Feb 14 13:26:54 2017;19;2;25;150;0.72;0.697;0.473;0.428;3000;LSTM-testing-norm-3ch less data;2560;250;500;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5];"             precision    recall  f1-score   support

        0.0       0.50      0.42      0.46   1163446
        1.0       0.00      0.10      0.00      4054
        2.0       0.84      0.70      0.77   9067078
        3.0       0.58      0.84      0.69   1888783
        4.0       0.61      0.70      0.65   2527308
        5.0       0.00      0.02      0.00      2771

avg / total       0.74      0.70      0.71  14653440
";240.45;14 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13];(26361000, 3);"[[  5.80e-01   6.97e-04   2.70e-01   5.51e-03   1.42e-01   1.75e-03]
 [  2.57e-01   1.08e-03   3.96e-01   5.12e-03   3.39e-01   2.09e-03]
 [  3.55e-02   2.17e-04   8.35e-01   2.81e-02   1.01e-01   1.70e-04]
 [  9.07e-03   1.33e-05   3.34e-01   6.51e-01   6.27e-03   6.03e-05]
 [  3.70e-02   2.56e-04   2.03e-01   1.60e-03   7.58e-01   6.01e-04]
 [  4.84e-01   2.49e-04   3.45e-01   4.14e-02   1.06e-01   2.32e-02]]";0.73255;"[[  5.02e-01   1.49e-04   4.12e-01   1.20e-02   7.29e-02   1.12e-03]
 [  3.33e-01   1.07e-03   4.53e-01   3.48e-03   2.09e-01   5.62e-04]
 [  4.58e-02   3.91e-04   8.42e-01   3.66e-02   7.56e-02   3.98e-05]
 [  1.14e-02   1.44e-05   3.95e-01   5.85e-01   8.49e-03   3.47e-05]
 [  3.77e-02   1.70e-04   3.49e-01   2.93e-03   6.10e-01   3.56e-04]
 [  5.33e-01   1.00e-04   3.23e-01   3.53e-02   1.08e-01   3.58e-04]]";0.81105;0.00001
Tue Feb 14 13:44:02 2017;19;2;10;150;0.663;0.644;0.392;0.349;3000;LSTM-testing-norm-3ch simple model;2560;250;500;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5];"             precision    recall  f1-score   support

        0.0       0.09      0.18      0.12    469109
        1.0       0.00      0.00      0.00        89
        2.0       0.77      0.68      0.73   8557680
        3.0       0.57      0.76      0.65   2033869
        4.0       0.68      0.55      0.60   3592627
        5.0       0.00      0.00      0.00        66

avg / total       0.70      0.64      0.67  14653440
";239.57;14 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13];(26361000, 3);"[[  2.14e-01   2.61e-04   4.23e-01   3.65e-03   3.60e-01   5.66e-05]
 [  1.74e-01   4.95e-04   3.24e-01   4.99e-03   4.96e-01   8.48e-07]
 [  3.19e-02   6.22e-05   7.83e-01   4.12e-02   1.44e-01   1.05e-06]
 [  4.78e-03   0.00e+00   3.78e-01   6.00e-01   1.64e-02   0.00e+00]
 [  5.65e-02   8.86e-05   1.65e-01   2.32e-03   7.76e-01   1.26e-05]
 [  1.77e-01   2.44e-04   4.49e-01   3.68e-02   3.37e-01   3.98e-05]]";0.87817;"[[  8.59e-02   6.20e-06   5.79e-01   1.24e-02   3.22e-01   7.24e-06]
 [  7.46e-02   0.00e+00   4.35e-01   6.47e-03   4.84e-01   0.00e+00]
 [  2.61e-02   4.75e-06   7.73e-01   6.15e-02   1.39e-01   3.17e-06]
 [  4.85e-03   0.00e+00   4.08e-01   5.69e-01   1.82e-02   2.58e-06]
 [  3.66e-02   1.59e-05   2.85e-01   2.74e-03   6.76e-01   9.65e-06]
 [  3.37e-01   8.33e-06   3.86e-01   2.47e-02   2.52e-01   0.00e+00]]";0.91926;0.00001
Wed Feb 15 02:52:55 2017;20;3;10;150;0.459;0.373;0.173;0.113;3000;LSTM-testing-norm-3ch ;1280;250;3000;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5];"             precision    recall  f1-score   support

        0.0       0.00      0.00      0.00         0
        1.0       0.00      0.00      0.00         0
        2.0       0.80      0.42      0.55   8275624
        3.0       0.08      0.19      0.11    945887
        4.0       0.02      0.04      0.02    574329
        5.0       0.00      0.00      0.00         0

avg / total       0.69      0.37      0.47   9795840
";299.1;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20375000, 3);"[[ 0.    0.    0.9   0.09  0.01  0.  ]
 [ 0.    0.    0.84  0.13  0.03  0.  ]
 [ 0.    0.    0.88  0.1   0.02  0.  ]
 [ 0.    0.    0.76  0.24  0.    0.  ]
 [ 0.    0.    0.87  0.06  0.07  0.  ]
 [ 0.    0.    0.89  0.07  0.03  0.  ]]";1.28092;"[[ 0.    0.    0.91  0.07  0.02  0.  ]
 [ 0.    0.    0.82  0.17  0.01  0.  ]
 [ 0.    0.    0.8   0.11  0.08  0.  ]
 [ 0.    0.    0.86  0.08  0.07  0.  ]
 [ 0.    0.    0.91  0.07  0.02  0.  ]
 [ 0.    0.    0.85  0.12  0.03  0.  ]]";1.55533;0.00001
